nama_produk,brand,sub_kategori,jenis_kulit_kompatibel,rating,harga_idr,size_ml,bahan_aktif,klaim,non_alkohol,non_fragrance,aman_malassezia,komedogenik_score,deskripsi,source_url
Acnederm Pure Refining Toner,Wardah,Toner,Berjerawat|Berminyak|Kombinasi,4.5,35000,0.0,,Tighten pores|Prep skin,True,False,False,1,Toner multifungsi untuk membantu merapatkan pori dan menyiapkan kulit untuk langkah skincare berikutnya.,https://www.wardahbeauty.com/id/product/skincare/wardah-acnederm-pure-refining-toner
BB Cream Every Day,Wardah,BB Cream,Normal|Kombinasi|Berminyak,4.3,31000,0.0,Aloe Vera|Bio-Hyaluronic Acid|Witch Hazel|Zinc Gluconate,Oil control|Hydrating|Soft finish,True,False,False,2,BB cream harian dengan water break technology; melembapkan dan membantu kontrol sebum.,https://www.wardahbeauty.com/id/product/make-up/bb-cream-every-day
Lightening Powder Foundation Light Feel,Wardah,Powder Foundation,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.4,58000,13.0,Advanced Niacinamide|Licorice|Titanium Dioxide|Tocopheryl Acetate,Brightening|UV Protection|12h longlasting,True,False,False,2,"Powder foundation ringan dengan Microbright Formula, SPF 40 PA++++ & blue light protection.",https://www.wardahbeauty.com/id/product/make-up/lightening-powder-foundation-light-feel
Crystal Secret Exfoliating Toner with Natural AHA+PHA,Wardah,Toner Eksfoliasi,Normal|Kombinasi|Berminyak|Berjerawat,4.5,83000,125.0,AHA|PHA|Allantoin|Green Tea,Gentle exfoliation|Brightening|Soothing,True,False,False,1,Toner eksfoliasi lembut dengan AHA+PHA untuk kulit lebih cerah dan halus.,https://www.wardahbeauty.com/en/product/skincare/crystal-secret-exfoliating-toner-with-natural-aha-pha
UV Shield Airy Smooth Sunscreen Serum SPF 50+ PA++++,Wardah,Sunscreen,Normal|Kombinasi|Berminyak|Sensitif,4.6,37500,30.0,UV Filters|Centella Asiatica,Lightweight|Smooth finish,True,False,False,1,Sunscreen ringan untuk tampilan halus dan nyaman dipakai harian.,https://www.wardahbeauty.com/en/product/skincare/uv-shield-airy-smooth-sunscreen-serum-spf-50-pa
Instaperfect Skincover Air Cushion 22 Light Ivory,Wardah (Instaperfect),Cushion,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.5,193000,11.0,,High coverage|Natural finish,True,False,False,2,Cushion dengan coverage merata dan hasil natural.,https://shop.wardahbeauty.com/product/instaperfect-skincover-air-cushion-22-light-ivory-11-g/
Instaperfect Matte Fit Powder Foundation 32 True Beige,Wardah (Instaperfect),Powder Foundation,Normal|Kering|Kombinasi|Berminyak,4.4,155000,13.0,,Matte finish|Smooth,True,False,False,2,Bedak padat instaperfect dengan hasil matte dan halus.,https://shop.wardahbeauty.com/product/instaperfect-matte-fit-powder-foundation-32-true-beige-13-g/
Instaperfect Skinfocus Cover Foundation 33 Warm Olive,Wardah (Instaperfect),Foundation,Normal|Kering|Kombinasi|Berminyak,4.4,165000,30.0,,Full coverage|Long-wear,True,False,False,2,Foundation cair dengan coverage tinggi dan tahan lama.,https://shop.wardahbeauty.com/product-category/refill-skincover-air-cushion/
Instaperfect MATTESETTER Lip Matte Paint 01 GLEE,Wardah (Instaperfect),Lip Paint,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.4,105000,5.5,,Transfer-minim|Matte,True,False,True,0,Lip paint matte nyaman dengan transfer minimal.,https://shop.wardahbeauty.com/product-category/instaperfect/instaperfect-lip-make-up/
Instaperfect Blur Mattifying Primer,Wardah (Instaperfect),Primer,Kombinasi|Berminyak|Normal,4.5,99000,20.0,,Blur pores|Oil control,True,False,False,2,Primer untuk tampilan pori tersamarkan dan kontrol minyak.,https://shop.wardahbeauty.com/instaperfect
Instaperfect Skinveil Cover Concealer 20 Ivory,Wardah (Instaperfect),Concealer,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.5,133000,6.5,,High coverage|Smooth,True,False,False,2,Concealer creamy untuk menutupi noda dan mata panda.,https://shop.wardahbeauty.com/product-category/instaperfect/instaperfect-eye-make-up/
Instaperfect GLOSS CHIC Lip Crayon 02 Clue,Wardah (Instaperfect),Lip Crayon,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.4,109000,2.7,,Gloss finish|Comfort,True,False,True,0,Lip crayon dengan hasil mengilap namun ringan.,https://shop.wardahbeauty.com/product-category/instaperfect/instaperfect-lip-make-up/
Instaperfect Hi Glow Fluid Highlighter Moonstone,Wardah (Instaperfect),Highlighter,Normal|Kering|Kombinasi|Berminyak,4.4,107000,0.0,,Glow finish|Lightweight,True,False,True,0,Highlighter cair dengan hasil glow.,https://shop.wardahbeauty.com/product/instaperfect-quickmatte-loose-powder-11-fair-pink-9-g/
Instaperfect MATTESETTER Lip Matte Paint 02 DEAR,Wardah (Instaperfect),Lip Paint,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.5,111000,5.5,,Transfer-minim|Matte,True,False,True,0,Varian warna DEAR dari lip matte paint Instaperfect.,https://shop.wardahbeauty.com/product/wardah-instaperfect-mattesetter-lip-matte-paint-02-dear-5-5-g/
Instaperfect Quickmatte Loose Powder 11 Fair Pink,Wardah (Instaperfect),Loose Powder,Normal|Kering|Kombinasi|Berminyak,4.4,129000,9.0,,Matte|Soft focus,True,False,True,1,Loose powder superfine untuk hasil matte dan soft focus.,https://shop.wardahbeauty.com/product/instaperfect-quickmatte-loose-powder-11-fair-pink-9-g/?noamp=mobile
Instaperfect Quickmatte Loose Powder 32 True Beige,Wardah (Instaperfect),Loose Powder,Normal|Kering|Kombinasi|Berminyak,4.4,129000,9.0,,Matte|Soft focus,True,False,True,1,Loose powder dengan Skin-Flex technology untuk hasil tidak cakey.,https://shop.wardahbeauty.com/product/instaperfect-quickmatte-loose-powder-32-true-beige-9-g/
Instaperfect Quickmatte Loose Powder 43 Creme Sand,Wardah (Instaperfect),Loose Powder,Normal|Kering|Kombinasi|Berminyak,4.4,129000,9.0,,Matte|Soft focus,True,False,True,1,Loose powder superfine dengan hasil matte.,https://shop.wardahbeauty.com/product/instaperfect-quickmatte-loose-powder-43-creme-sand-9-g/
Instaperfect Skincover Air Cushion 32 True Beige,Wardah (Instaperfect),Cushion,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.5,193000,11.0,,High coverage|Natural finish,True,False,False,2,Cushion dengan hasil coverage merata.,https://shop.wardahbeauty.com/product/instaperfect-skincover-air-cushion-32-true-beige-11-g/?noamp=mobile
Instaperfect Skincover Air Cushion 52 Almond,Wardah (Instaperfect),Cushion,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.5,193000,11.0,,High coverage|Natural finish,True,False,False,2,Cushion shade Almond untuk skintone tan.,https://shop.wardahbeauty.com/product/instaperfect-skincover-air-cushion-52-almond-11-g/?noamp=mobile
Instaperfect Refill Skincover Air Cushion 33 Warm Olive,Wardah (Instaperfect),Cushion Refill,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.4,142000,11.0,,Refill|High coverage,True,False,False,2,Refill cushion shade Warm Olive.,https://shop.wardahbeauty.com/product/instaperfect-refill-skincover-air-cushion-33-warm-olive-11-g/
Instaperfect Skinfocus Cover Foundation 32 True Beige,Wardah (Instaperfect),Foundation,Normal|Kering|Kombinasi|Berminyak,4.4,171000,30.0,,Full coverage|Long-wear,True,False,False,2,Foundation dengan ketahanan tinggi.,https://shop.wardahbeauty.com/product/instaperfect-skinfocus-cover-foundation-32-true-beige-30-ml/
Instaperfect Skinveil Cover Concealer 10 Fair,Wardah (Instaperfect),Concealer,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.5,133000,6.5,,Real-skin finish|Creaseless,True,False,False,2,Concealer shade Fair dengan hasil natural.,https://shop.wardahbeauty.com/product/instaperfect-skinveil-cover-concealer-10-fair-6-5-g/
Instaperfect Suede Lip Matte 09 Rue,Wardah (Instaperfect),Lipstick,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.4,119000,3.5,,Matte|Comfortable,True,False,True,0,Lipstik matte dengan kenyamanan tinggi.,https://shop.wardahbeauty.com/product/instaperfect-quickmatte-loose-powder-43-creme-sand-9-g/
Instaperfect GLOSS CHIC Lip Crayon 03 Mind,Wardah (Instaperfect),Lip Crayon,Normal|Kering|Kombinasi|Berminyak|Sensitif,4.4,109000,2.7,,Gloss finish|Comfort,True,False,True,0,Lip crayon glossy shade Mind.,https://shop.wardahbeauty.com/product/instaperfect-quickmatte-loose-powder-11-fair-pink-9-g/?noamp=mobile
